query_number,indexing_time_seconds,query_passed,answer_returned,model_name,is_reasoning_model,context_file,method_used,inference_time_ms,input_tokens,output_tokens,total_tokens,gpu_available,gpu_name,gpu_memory_used_mb,gpu_memory_total_mb,gpu_memory_percent,gpu_utilization_percent,ram_used_gb,ram_total_gb,ram_percent,timestamp
1,14.64,1. What is the name of the village where Dr. Aisha Sharma returns?,"The context does not mention a specific village name. It refers to Ravanhalli Manor, a manor house, but does not specify a village. Thus, the answer is not available from the provided information.",qwen3:1.7b,True,Unknown.pdf,vector,9315.93,1235,49,1284,True,NVIDIA GeForce RTX 3050 Laptop GPU,3244.0,4096.0,79.2,11.0,14.21,23.16,61.35,2026-03-18T14:45:19.376690
2,14.64,2. What is the name of the family estate?,The name of the family estate is **Ravanhalli Manor**.,qwen3:1.7b,True,Unknown.pdf,vector,6113.14,1237,13,1250,True,NVIDIA GeForce RTX 3050 Laptop GPU,3244.0,4096.0,79.2,11.0,14.25,23.16,61.53,2026-03-18T14:45:25.512574
3,14.64,3. Who sent the letter that summoned Aisha to Kodalipur?,"The letter was sent by the Ravanhalli family, as indicated by the return address and the family seal. However, the context does not specify the exact individual who sent the letter.",qwen3:1.7b,True,Unknown.pdf,vector,10873.79,1218,45,1263,True,NVIDIA GeForce RTX 3050 Laptop GPU,3244.0,4096.0,79.2,11.0,14.15,23.16,61.09,2026-03-18T14:45:36.409612
4,14.64,"4. What is the name of the ancient entity that exists in ""the between""?","The ancient entity in ""the between"" is called the **Watcher**. It is mentioned in Chapter 19 as the entity that has ""gone—not destroyed, just at peace.""",qwen3:1.7b,True,Unknown.pdf,vector,8102.91,1168,38,1206,True,NVIDIA GeForce RTX 3050 Laptop GPU,3244.0,4096.0,79.2,11.0,14.1,23.16,60.88,2026-03-18T14:45:44.534621
5,14.64,5. What is the title given to Aditi at the end?,"The title given to Aditi at the end is **""Aditi Ravanhalli.""**",qwen3:1.7b,True,Unknown.pdf,vector,4653.92,1162,15,1177,True,NVIDIA GeForce RTX 3050 Laptop GPU,3246.0,4096.0,79.25,14.0,14.22,23.16,61.39,2026-03-18T14:45:49.212542
6,14.64,6. What does Aisha discover Marcus actually was to her?,"Aisha discovers that Marcus was her brother, as the context implies that he left her the box containing research about her mother's past, which includes the ""Seven"" and their disappearance. The fact that Thomas referred to Marcus as her brother (through the lens of her mother's mystery) suggests a familial connection, though the explicit statement is not directly provided in the text.",qwen3:1.7b,True,Unknown.pdf,vector,46679.83,1267,96,1363,True,NVIDIA GeForce RTX 3050 Laptop GPU,3246.0,4096.0,79.25,8.0,14.08,23.16,60.78,2026-03-18T14:46:35.914593
7,14.64,7. Who was Aisha's biological mother?,"Aisha's biological mother is Sunita Sharma, as explicitly mentioned in the context.",qwen3:1.7b,True,Unknown.pdf,vector,7004.68,1211,20,1231,True,NVIDIA GeForce RTX 3050 Laptop GPU,3246.0,4096.0,79.25,11.0,14.08,23.16,60.8,2026-03-18T14:46:42.940276
8,14.64,8. What is the name of the rival psychiatrist who tries to control The Watcher?,"The context does not mention the name of the rival psychiatrist. It only references Sunita's voice and the Watcher, but no psychiatrist is named in the provided text.",qwen3:1.7b,True,Unknown.pdf,vector,13917.01,1216,41,1257,True,NVIDIA GeForce RTX 3050 Laptop GPU,3246.0,4096.0,79.25,11.0,14.15,23.16,61.09,2026-03-18T14:46:56.878336
9,14.64,9. What object did Marcus leave for Aisha in a wooden box?,The object Marcus left for Aisha in the wooden box was a **journal**.,qwen3:1.7b,True,Unknown.pdf,vector,5213.4,1268,17,1285,True,NVIDIA GeForce RTX 3050 Laptop GPU,3246.0,4096.0,79.25,11.0,14.17,23.16,61.18,2026-03-18T14:47:02.115474
10,14.64,10. How many people vanished in September 1894?,"The context mentions ""the Seven"" who vanished in 1894. It does not specify the exact number of people, but the term ""the Seven"" implies seven individuals. Thus, the answer is **seven**.",qwen3:1.7b,True,Unknown.pdf,vector,7864.91,1265,46,1311,True,NVIDIA GeForce RTX 3050 Laptop GPU,3246.0,4096.0,79.25,11.0,14.0,23.16,60.45,2026-03-18T14:47:10.006419
11,14.64,11. What year was the first bridge created according to the story?,"The first bridge was created in 1664, as stated in the context.",qwen3:1.7b,True,Unknown.pdf,vector,4991.54,1226,15,1241,True,NVIDIA GeForce RTX 3050 Laptop GPU,3246.0,4096.0,79.25,11.0,14.13,23.16,61.01,2026-03-18T14:47:15.021641
12,14.64,12. What is the name of the station where Aisha arrives?,"The context does not mention the name of the station where Aisha arrives. Therefore, the answer is that the information is not provided in the given context.",qwen3:1.7b,True,Unknown.pdf,vector,14517.42,1228,39,1267,True,NVIDIA GeForce RTX 3050 Laptop GPU,3246.0,4096.0,79.25,11.0,14.18,23.16,61.21,2026-03-18T14:47:29.563126
