query_number,indexing_time_seconds,query_passed,answer_returned,model_name,is_reasoning_model,context_file,method_used,inference_time_ms,input_tokens,output_tokens,total_tokens,gpu_available,gpu_name,gpu_memory_used_mb,gpu_memory_total_mb,gpu_memory_percent,gpu_utilization_percent,ram_used_gb,ram_total_gb,ram_percent,timestamp
1,46.57,1. What is the name of the village where Dr. Aisha Sharma returns?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.27,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,0.0,10.34,23.16,44.66,2026-03-18T16:28:55.228138
2,46.57,2. What is the name of the family estate?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,36.47,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,0.0,10.43,23.16,45.02,2026-03-18T16:28:55.285042
3,46.57,3. Who sent the letter that summoned Aisha to Kodalipur?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,13.18,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,0.0,10.43,23.16,45.06,2026-03-18T16:28:55.321619
4,46.57,"4. What is the name of the ancient entity that exists in ""the between""?",No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,7.2,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,0.0,10.44,23.16,45.06,2026-03-18T16:28:55.349053
5,46.57,5. What is the title given to Aditi at the end?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,13.14,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,0.0,10.45,23.16,45.13,2026-03-18T16:28:55.384157
6,46.57,6. What does Aisha discover Marcus actually was to her?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,8.0,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,0.0,10.48,23.16,45.23,2026-03-18T16:28:55.411873
7,46.57,7. Who was Aisha's biological mother?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.67,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,0.0,10.46,23.16,45.18,2026-03-18T16:28:55.440288
8,46.57,8. What is the name of the rival psychiatrist who tries to control The Watcher?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,7.67,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.47,23.16,45.19,2026-03-18T16:28:55.470889
9,46.57,9. What object did Marcus leave for Aisha in a wooden box?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,9.0,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.47,23.16,45.21,2026-03-18T16:28:55.501025
10,46.57,10. How many people vanished in September 1894?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.44,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.46,23.16,45.16,2026-03-18T16:28:55.528570
