query_number,indexing_time_seconds,query_passed,answer_returned,model_name,is_reasoning_model,context_file,method_used,inference_time_ms,input_tokens,output_tokens,total_tokens,gpu_available,gpu_name,gpu_memory_used_mb,gpu_memory_total_mb,gpu_memory_percent,gpu_utilization_percent,ram_used_gb,ram_total_gb,ram_percent,timestamp
1,11.93,1. What is the name of the village where Dr. Aisha Sharma returns?,"The name ""The Watcher"" is not explicitly mentioned in the provided context.",deepseek-r1:1.5b,True,Unknown.pdf,vector,14480.7,1235,18,1253,True,NVIDIA GeForce RTX 3050 Laptop GPU,966.0,4096.0,23.58,0.0,14.83,23.16,64.04,2026-03-18T15:13:14.486832
2,11.93,2. What is the name of the family estate?,The name of the family estate is **Ravanhalli Manor**.,deepseek-r1:1.5b,True,Unknown.pdf,vector,6425.4,1237,13,1250,True,NVIDIA GeForce RTX 3050 Laptop GPU,966.0,4096.0,23.58,0.0,14.58,23.16,62.94,2026-03-18T15:13:20.933671
3,11.93,3. Who sent the letter that summoned Aisha to Kodalipur?,"The letter was sent by the Ravanhalli family.

Answer: The letter was sent by the Ravanhalli family.",deepseek-r1:1.5b,True,Unknown.pdf,vector,9562.08,1218,25,1243,True,NVIDIA GeForce RTX 3050 Laptop GPU,966.0,4096.0,23.58,0.0,14.95,23.16,64.55,2026-03-18T15:13:30.517523
4,11.93,"4. What is the name of the ancient entity that exists in ""the between""?","The name of the ancient entity in ""the between"" is **Aditi Ravanhalli**, as she holds a key placed there.",deepseek-r1:1.5b,True,Unknown.pdf,vector,14119.45,1168,26,1194,True,NVIDIA GeForce RTX 3050 Laptop GPU,966.0,4096.0,23.58,0.0,14.98,23.16,64.69,2026-03-18T15:13:44.660014
5,11.93,5. What is the title given to Aditi at the end?,"The title given to Aditi at the end of Chapter 19 is **Aditi Ravanhalli**.

Answer: Aditi Ravanhalli",deepseek-r1:1.5b,True,Unknown.pdf,vector,11826.12,1162,25,1187,True,NVIDIA GeForce RTX 3050 Laptop GPU,968.0,4096.0,23.63,0.0,14.98,23.16,64.67,2026-03-18T15:13:56.506138
6,11.93,6. What does Aisha discover Marcus actually was to her?,"Aisha discovers that Marcus was not the person responsible for the box containing his research. Instead, she learns that Aditi Ravanhalli, the woman who appeared to Aisha, is the one who should be contacted.

Answer: Aisha discovers that Marcus was not the person responsible for the box containing his research and instead learns that Aditi Ravanhalli needs to be contacted.",deepseek-r1:1.5b,True,Unknown.pdf,vector,16174.64,1267,93,1360,True,NVIDIA GeForce RTX 3050 Laptop GPU,968.0,4096.0,23.63,0.0,14.94,23.16,64.52,2026-03-18T15:14:12.700778
7,11.93,7. Who was Aisha's biological mother?,Aisha's biological mother is Sunita Sharma.,deepseek-r1:1.5b,True,Unknown.pdf,vector,14104.3,1211,10,1221,True,NVIDIA GeForce RTX 3050 Laptop GPU,968.0,4096.0,23.63,0.0,14.94,23.16,64.5,2026-03-18T15:14:26.828018
8,11.93,8. What is the name of the rival psychiatrist who tries to control The Watcher?,Sunita,deepseek-r1:1.5b,True,Unknown.pdf,vector,12443.23,1216,1,1217,True,NVIDIA GeForce RTX 3050 Laptop GPU,968.0,4096.0,23.63,0.0,14.94,23.16,64.53,2026-03-18T15:14:39.293952
9,11.93,9. What object did Marcus leave for Aisha in a wooden box?,Marcus left a wooden box containing his research for Aisha.,deepseek-r1:1.5b,True,Unknown.pdf,vector,12068.14,1268,14,1282,True,NVIDIA GeForce RTX 3050 Laptop GPU,968.0,4096.0,23.63,0.0,14.94,23.16,64.52,2026-03-18T15:14:51.382447
10,11.93,10. How many people vanished in September 1894?,"Seven people vanished in September 1894: Marcus, Thomas, and the other six.

Answer: Seven people vanished in September 1894.",deepseek-r1:1.5b,True,Unknown.pdf,vector,6426.14,1265,31,1296,True,NVIDIA GeForce RTX 3050 Laptop GPU,968.0,4096.0,23.63,0.0,14.99,23.16,64.7,2026-03-18T15:14:57.830309
11,11.93,11. What year was the first bridge created according to the story?,The first bridge was created in **1894**.,deepseek-r1:1.5b,True,Unknown.pdf,vector,12115.94,1226,10,1236,True,NVIDIA GeForce RTX 3050 Laptop GPU,968.0,4096.0,23.63,0.0,14.95,23.16,64.57,2026-03-18T15:15:09.968681
12,11.93,12. What is the name of the station where Aisha arrives?,"The context provided does not mention a specific station name where Aisha arrives. It focuses on events involving Captain Hari and Aditi Ravanhalli but lacks any details about a station or location.

Answer: The context does not provide enough information to determine the station name where Aisha arrives.",deepseek-r1:1.5b,True,Unknown.pdf,vector,8904.39,1228,76,1304,True,NVIDIA GeForce RTX 3050 Laptop GPU,968.0,4096.0,23.63,0.0,14.94,23.16,64.52,2026-03-18T15:15:18.896140
13,11.93,13. Who was Aisha's guide from the station to the manor?,"Aisha's guide was Thomas, who was exploring Ravanhalli Manor with her during their discussion about leaving.",deepseek-r1:1.5b,True,Unknown.pdf,vector,11601.55,1233,27,1260,True,NVIDIA GeForce RTX 3050 Laptop GPU,968.0,4096.0,23.63,0.0,14.98,23.16,64.7,2026-03-18T15:15:30.521472
14,11.93,14. What color was the dress of the figure waiting on the platform?,"The context does not provide specific details about the dress's color on the platform, so it cannot be determined.",deepseek-r1:1.5b,True,Unknown.pdf,vector,8618.16,1230,28,1258,True,NVIDIA GeForce RTX 3050 Laptop GPU,970.0,4096.0,23.68,0.0,14.98,23.16,64.68,2026-03-18T15:15:39.162508
15,11.93,15. What does the obsidian mirror represent in the chamber?,"The obsidian mirror represents a barrier or protection against darkness or something else, symbolizing their attempt to seal things away and maintain order through rituals.

Answer: The obsidian mirror in each chapter represents a barrier or protection against darkness or something else, symbolizing their attempt to seal things away and maintain order through rituals.",deepseek-r1:1.5b,True,Unknown.pdf,vector,10307.9,1211,92,1303,True,NVIDIA GeForce RTX 3050 Laptop GPU,970.0,4096.0,23.68,0.0,14.98,23.16,64.69,2026-03-18T15:15:49.492568
16,11.93,16. What is the name of Captain Hari's drink in the village tavern?,"Captain Hari's drink in the village tavern was a glass of arrack. 

Answer: A glass of arrack",deepseek-r1:1.5b,True,Unknown.pdf,vector,6270.46,1227,23,1250,True,NVIDIA GeForce RTX 3050 Laptop GPU,970.0,4096.0,23.68,0.0,14.51,23.16,62.67,2026-03-18T15:15:55.782317
17,11.93,17. What did Aisha's grandmother try to end?,"Aisha's grandmother tried to end the entity's influence by manipulating the situation with physical actions and transforming the environment, such as carrying objects or altering the passage, to achieve her goal of ending the cycle.

Answer: Aisha's grandmother tried to end the entity's influence by using physical actions and transformations, such as carrying objects or altering the passage, to manipulate the situation.",deepseek-r1:1.5b,True,Unknown.pdf,vector,12427.72,1225,105,1330,True,NVIDIA GeForce RTX 3050 Laptop GPU,970.0,4096.0,23.68,0.0,14.49,23.16,62.58,2026-03-18T15:16:08.230847
18,11.93,18. What was the price paid to The Watcher in the bargain?,The price paid to The Watcher was the bridges—human minds capable of perceiving The Watcher directly.,deepseek-r1:1.5b,True,Unknown.pdf,vector,6357.13,1224,25,1249,True,NVIDIA GeForce RTX 3050 Laptop GPU,970.0,4096.0,23.68,0.0,14.5,23.16,62.6,2026-03-18T15:16:14.608039
19,11.93,19. Where does Aisha work as a psychiatrist?,"Aisha works as a psychiatrist.

Answer: Aisha works as a psychiatrist.",deepseek-r1:1.5b,True,Unknown.pdf,vector,11291.48,1164,17,1181,True,NVIDIA GeForce RTX 3050 Laptop GPU,970.0,4096.0,23.68,0.0,14.55,23.16,62.81,2026-03-18T15:16:25.922912
20,11.93,20. How many parts/chapters are in the story structure?,"There are **three** chapters: Chapter 13, Chapter 14, and Chapter 15.",deepseek-r1:1.5b,True,Unknown.pdf,vector,11503.08,1227,17,1244,True,NVIDIA GeForce RTX 3050 Laptop GPU,970.0,4096.0,23.68,0.0,14.48,23.16,62.53,2026-03-18T15:16:37.447362
21,11.93,21. Describe what The Watcher actually is in the story.,"The Watcher is a figure who helps people escape from situations where they were locked away. She aids through rituals and door openings, allowing characters to move forward despite obstacles.",deepseek-r1:1.5b,True,Unknown.pdf,vector,11622.94,1210,47,1257,True,NVIDIA GeForce RTX 3050 Laptop GPU,970.0,4096.0,23.68,0.0,14.49,23.16,62.56,2026-03-18T15:16:49.088904
22,11.93,22. What warning did Aditi give Aisha on her first night?,"Aditi told Aisha that she was taken by an entity, referring to Captain Hari's journal, which mentioned the entity isn't a demon but a prisoner and their jailers. She suggested giving The Watcher what it wanted on her terms, hinting midnight would be the night before they meet.

Answer: Aditi told Aisha that she was taken by an entity, referencing Captain Hari's journal, which described the entity as a prisoner and their jailers.",deepseek-r1:1.5b,True,Unknown.pdf,vector,14777.53,1228,108,1336,True,NVIDIA GeForce RTX 3050 Laptop GPU,970.0,4096.0,23.68,0.0,14.48,23.16,62.52,2026-03-18T15:17:03.889400
23,11.93,23. What did Aisha find behind the hidden door in the east wing?,"The door in the east wing led Aisha to a chamber with seven chairs and a stone altar. The reflection of Thomas' words suggested deeper meanings, possibly leading her to discover something significant behind the door.

Answer: The door led Aisha to a chamber where she found more about the hidden door's significance, possibly revealing deeper meanings or secrets.",deepseek-r1:1.5b,True,Unknown.pdf,vector,18165.14,1235,90,1325,True,NVIDIA GeForce RTX 3050 Laptop GPU,970.0,4096.0,23.68,0.0,14.47,23.16,62.47,2026-03-18T15:17:22.081405
